2016-11-04 19:01:13 [clip_udr_data] [INFO ]  [1/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/alytes_cisternasii.tif
2016-11-04 19:08:23 [clip_udr_data] [DEBUG]  [91/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:08:23 [clip_udr_data] [DEBUG]  [91/763] Processing input file data/external/udr/european_tetrapods/birds/acrocephalus_schoenobaenus.tif.
2016-11-04 19:08:23 [clip_udr_data] [DEBUG]  [91/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/acrocephalus_schoenobaenus.tif.
2016-11-04 19:08:23 [clip_udr_data] [DEBUG]  [91/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/acrocephalus_schoenobaenus.tif to destination data/processed/features/udr/european_tetrapods/birds/acrocephalus_schoenobaenus.tif.
2016-11-04 19:08:23 [clip_udr_data] [DEBUG]  [91/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:08:23 [clip_udr_data] [INFO ]  [92/763] Clipping dataset data/external/udr/european_tetrapods/birds/acrocephalus_scirpaceus.tif
2016-11-04 19:08:23 [clip_udr_data] [DEBUG]  [92/763] Target dataset data/processed/features/udr/european_tetrapods/birds/acrocephalus_scirpaceus.tif
2016-11-04 19:08:29 [clip_udr_data] [DEBUG]  [92/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:08:29 [clip_udr_data] [DEBUG]  [92/763] Processing input file data/external/udr/european_tetrapods/birds/acrocephalus_scirpaceus.tif.
2016-11-04 19:08:29 [clip_udr_data] [DEBUG]  [92/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/acrocephalus_scirpaceus.tif.
2016-11-04 19:08:29 [clip_udr_data] [DEBUG]  [92/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/acrocephalus_scirpaceus.tif to destination data/processed/features/udr/european_tetrapods/birds/acrocephalus_scirpaceus.tif.
2016-11-04 19:08:29 [clip_udr_data] [DEBUG]  [92/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:08:29 [clip_udr_data] [INFO ]  [93/763] Clipping dataset data/external/udr/european_tetrapods/birds/actitis_hypoleucos.tif
2016-11-04 19:08:29 [clip_udr_data] [DEBUG]  [93/763] Target dataset data/processed/features/udr/european_tetrapods/birds/actitis_hypoleucos.tif
2016-11-04 19:08:34 [clip_udr_data] [DEBUG]  [93/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:08:34 [clip_udr_data] [DEBUG]  [93/763] Processing input file data/external/udr/european_tetrapods/birds/actitis_hypoleucos.tif.
2016-11-04 19:08:34 [clip_udr_data] [DEBUG]  [93/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/actitis_hypoleucos.tif.
2016-11-04 19:08:34 [clip_udr_data] [DEBUG]  [93/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/actitis_hypoleucos.tif to destination data/processed/features/udr/european_tetrapods/birds/actitis_hypoleucos.tif.
2016-11-04 19:08:34 [clip_udr_data] [DEBUG]  [93/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:08:34 [clip_udr_data] [INFO ]  [94/763] Clipping dataset data/external/udr/european_tetrapods/birds/aegithalos_caudatus.tif
2016-11-04 19:08:34 [clip_udr_data] [DEBUG]  [94/763] Target dataset data/processed/features/udr/european_tetrapods/birds/aegithalos_caudatus.tif
2016-11-04 19:08:38 [clip_udr_data] [DEBUG]  [94/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:08:38 [clip_udr_data] [DEBUG]  [94/763] Processing input file data/external/udr/european_tetrapods/birds/aegithalos_caudatus.tif.
2016-11-04 19:08:38 [clip_udr_data] [DEBUG]  [94/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/aegithalos_caudatus.tif.
2016-11-04 19:08:38 [clip_udr_data] [DEBUG]  [94/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/aegithalos_caudatus.tif to destination data/processed/features/udr/european_tetrapods/birds/aegithalos_caudatus.tif.
2016-11-04 19:08:38 [clip_udr_data] [DEBUG]  [94/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:08:38 [clip_udr_data] [INFO ]  [95/763] Clipping dataset data/external/udr/european_tetrapods/birds/aegolius_funereus.tif
2016-11-04 19:08:38 [clip_udr_data] [DEBUG]  [95/763] Target dataset data/processed/features/udr/european_tetrapods/birds/aegolius_funereus.tif
2016-11-04 19:08:44 [clip_udr_data] [DEBUG]  [95/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:08:44 [clip_udr_data] [DEBUG]  [95/763] Processing input file data/external/udr/european_tetrapods/birds/aegolius_funereus.tif.
2016-11-04 19:08:44 [clip_udr_data] [DEBUG]  [95/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/aegolius_funereus.tif.
2016-11-04 19:08:44 [clip_udr_data] [DEBUG]  [95/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/aegolius_funereus.tif to destination data/processed/features/udr/european_tetrapods/birds/aegolius_funereus.tif.
2016-11-04 19:08:44 [clip_udr_data] [DEBUG]  [95/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:08:44 [clip_udr_data] [INFO ]  [96/763] Clipping dataset data/external/udr/european_tetrapods/birds/aegypius_monachus.tif
2016-11-04 19:08:44 [clip_udr_data] [DEBUG]  [96/763] Target dataset data/processed/features/udr/european_tetrapods/birds/aegypius_monachus.tif
2016-11-04 19:08:50 [clip_udr_data] [DEBUG]  [96/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:08:50 [clip_udr_data] [DEBUG]  [96/763] Processing input file data/external/udr/european_tetrapods/birds/aegypius_monachus.tif.
2016-11-04 19:08:50 [clip_udr_data] [DEBUG]  [96/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/aegypius_monachus.tif.
2016-11-04 19:08:50 [clip_udr_data] [DEBUG]  [96/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/aegypius_monachus.tif to destination data/processed/features/udr/european_tetrapods/birds/aegypius_monachus.tif.
2016-11-04 19:08:50 [clip_udr_data] [DEBUG]  [96/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:08:50 [clip_udr_data] [INFO ]  [97/763] Clipping dataset data/external/udr/european_tetrapods/birds/alauda_arvensis.tif
2016-11-04 19:08:50 [clip_udr_data] [DEBUG]  [97/763] Target dataset data/processed/features/udr/european_tetrapods/birds/alauda_arvensis.tif
2016-11-04 19:08:55 [clip_udr_data] [DEBUG]  [97/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:08:55 [clip_udr_data] [DEBUG]  [97/763] Processing input file data/external/udr/european_tetrapods/birds/alauda_arvensis.tif.
2016-11-04 19:08:55 [clip_udr_data] [DEBUG]  [97/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/alauda_arvensis.tif.
2016-11-04 19:08:55 [clip_udr_data] [DEBUG]  [97/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/alauda_arvensis.tif to destination data/processed/features/udr/european_tetrapods/birds/alauda_arvensis.tif.
2016-11-04 19:08:55 [clip_udr_data] [DEBUG]  [97/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:08:55 [clip_udr_data] [INFO ]  [98/763] Clipping dataset data/external/udr/european_tetrapods/birds/alca_torda.tif
2016-11-04 19:08:55 [clip_udr_data] [DEBUG]  [98/763] Target dataset data/processed/features/udr/european_tetrapods/birds/alca_torda.tif
2016-11-04 19:09:01 [clip_udr_data] [DEBUG]  [98/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:01 [clip_udr_data] [DEBUG]  [98/763] Processing input file data/external/udr/european_tetrapods/birds/alca_torda.tif.
2016-11-04 19:09:01 [clip_udr_data] [DEBUG]  [98/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/alca_torda.tif.
2016-11-04 19:09:01 [clip_udr_data] [DEBUG]  [98/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/alca_torda.tif to destination data/processed/features/udr/european_tetrapods/birds/alca_torda.tif.
2016-11-04 19:09:01 [clip_udr_data] [DEBUG]  [98/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:01 [clip_udr_data] [INFO ]  [99/763] Clipping dataset data/external/udr/european_tetrapods/birds/alcedo_atthis.tif
2016-11-04 19:09:01 [clip_udr_data] [DEBUG]  [99/763] Target dataset data/processed/features/udr/european_tetrapods/birds/alcedo_atthis.tif
2016-11-04 19:09:06 [clip_udr_data] [DEBUG]  [99/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:06 [clip_udr_data] [DEBUG]  [99/763] Processing input file data/external/udr/european_tetrapods/birds/alcedo_atthis.tif.
2016-11-04 19:09:06 [clip_udr_data] [DEBUG]  [99/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/alcedo_atthis.tif.
2016-11-04 19:09:06 [clip_udr_data] [DEBUG]  [99/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/alcedo_atthis.tif to destination data/processed/features/udr/european_tetrapods/birds/alcedo_atthis.tif.
2016-11-04 19:09:06 [clip_udr_data] [DEBUG]  [99/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:06 [clip_udr_data] [INFO ]  [100/763] Clipping dataset data/external/udr/european_tetrapods/birds/alectoris_barbara.tif
2016-11-04 19:09:06 [clip_udr_data] [DEBUG]  [100/763] Target dataset data/processed/features/udr/european_tetrapods/birds/alectoris_barbara.tif
2016-11-04 19:09:11 [clip_udr_data] [DEBUG]  [100/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:11 [clip_udr_data] [DEBUG]  [100/763] Processing input file data/external/udr/european_tetrapods/birds/alectoris_barbara.tif.
2016-11-04 19:09:11 [clip_udr_data] [DEBUG]  [100/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/alectoris_barbara.tif.
2016-11-04 19:09:11 [clip_udr_data] [DEBUG]  [100/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/alectoris_barbara.tif to destination data/processed/features/udr/european_tetrapods/birds/alectoris_barbara.tif.
2016-11-04 19:09:11 [clip_udr_data] [DEBUG]  [100/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:11 [clip_udr_data] [INFO ]  [101/763] Clipping dataset data/external/udr/european_tetrapods/birds/alectoris_chukar.tif
2016-11-04 19:09:11 [clip_udr_data] [DEBUG]  [101/763] Target dataset data/processed/features/udr/european_tetrapods/birds/alectoris_chukar.tif
2016-11-04 19:09:16 [clip_udr_data] [DEBUG]  [101/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:16 [clip_udr_data] [DEBUG]  [101/763] Processing input file data/external/udr/european_tetrapods/birds/alectoris_chukar.tif.
2016-11-04 19:09:16 [clip_udr_data] [DEBUG]  [101/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/alectoris_chukar.tif.
2016-11-04 19:09:16 [clip_udr_data] [DEBUG]  [101/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/alectoris_chukar.tif to destination data/processed/features/udr/european_tetrapods/birds/alectoris_chukar.tif.
2016-11-04 19:09:16 [clip_udr_data] [DEBUG]  [101/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:16 [clip_udr_data] [INFO ]  [102/763] Clipping dataset data/external/udr/european_tetrapods/birds/alectoris_graeca.tif
2016-11-04 19:09:16 [clip_udr_data] [DEBUG]  [102/763] Target dataset data/processed/features/udr/european_tetrapods/birds/alectoris_graeca.tif
2016-11-04 19:09:21 [clip_udr_data] [DEBUG]  [102/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:21 [clip_udr_data] [DEBUG]  [102/763] Processing input file data/external/udr/european_tetrapods/birds/alectoris_graeca.tif.
2016-11-04 19:09:21 [clip_udr_data] [DEBUG]  [102/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/alectoris_graeca.tif.
2016-11-04 19:09:21 [clip_udr_data] [DEBUG]  [102/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/alectoris_graeca.tif to destination data/processed/features/udr/european_tetrapods/birds/alectoris_graeca.tif.
2016-11-04 19:09:21 [clip_udr_data] [DEBUG]  [102/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:21 [clip_udr_data] [INFO ]  [103/763] Clipping dataset data/external/udr/european_tetrapods/birds/alectoris_rufa.tif
2016-11-04 19:09:21 [clip_udr_data] [DEBUG]  [103/763] Target dataset data/processed/features/udr/european_tetrapods/birds/alectoris_rufa.tif
2016-11-04 19:09:27 [clip_udr_data] [DEBUG]  [103/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:27 [clip_udr_data] [DEBUG]  [103/763] Processing input file data/external/udr/european_tetrapods/birds/alectoris_rufa.tif.
2016-11-04 19:09:27 [clip_udr_data] [DEBUG]  [103/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/alectoris_rufa.tif.
2016-11-04 19:09:27 [clip_udr_data] [DEBUG]  [103/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/alectoris_rufa.tif to destination data/processed/features/udr/european_tetrapods/birds/alectoris_rufa.tif.
2016-11-04 19:09:27 [clip_udr_data] [DEBUG]  [103/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:27 [clip_udr_data] [INFO ]  [104/763] Clipping dataset data/external/udr/european_tetrapods/birds/anas_acuta.tif
2016-11-04 19:09:27 [clip_udr_data] [DEBUG]  [104/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anas_acuta.tif
2016-11-04 19:09:32 [clip_udr_data] [DEBUG]  [104/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:32 [clip_udr_data] [DEBUG]  [104/763] Processing input file data/external/udr/european_tetrapods/birds/anas_acuta.tif.
2016-11-04 19:09:32 [clip_udr_data] [DEBUG]  [104/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anas_acuta.tif.
2016-11-04 19:09:32 [clip_udr_data] [DEBUG]  [104/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anas_acuta.tif to destination data/processed/features/udr/european_tetrapods/birds/anas_acuta.tif.
2016-11-04 19:09:32 [clip_udr_data] [DEBUG]  [104/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:32 [clip_udr_data] [INFO ]  [105/763] Clipping dataset data/external/udr/european_tetrapods/birds/anas_clypeata.tif
2016-11-04 19:09:32 [clip_udr_data] [DEBUG]  [105/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anas_clypeata.tif
2016-11-04 19:09:37 [clip_udr_data] [DEBUG]  [105/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:37 [clip_udr_data] [DEBUG]  [105/763] Processing input file data/external/udr/european_tetrapods/birds/anas_clypeata.tif.
2016-11-04 19:09:37 [clip_udr_data] [DEBUG]  [105/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anas_clypeata.tif.
2016-11-04 19:09:37 [clip_udr_data] [DEBUG]  [105/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anas_clypeata.tif to destination data/processed/features/udr/european_tetrapods/birds/anas_clypeata.tif.
2016-11-04 19:09:37 [clip_udr_data] [DEBUG]  [105/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:37 [clip_udr_data] [INFO ]  [106/763] Clipping dataset data/external/udr/european_tetrapods/birds/anas_crecca.tif
2016-11-04 19:09:37 [clip_udr_data] [DEBUG]  [106/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anas_crecca.tif
2016-11-04 19:09:42 [clip_udr_data] [DEBUG]  [106/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:42 [clip_udr_data] [DEBUG]  [106/763] Processing input file data/external/udr/european_tetrapods/birds/anas_crecca.tif.
2016-11-04 19:09:42 [clip_udr_data] [DEBUG]  [106/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anas_crecca.tif.
2016-11-04 19:09:42 [clip_udr_data] [DEBUG]  [106/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anas_crecca.tif to destination data/processed/features/udr/european_tetrapods/birds/anas_crecca.tif.
2016-11-04 19:09:42 [clip_udr_data] [DEBUG]  [106/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:42 [clip_udr_data] [INFO ]  [107/763] Clipping dataset data/external/udr/european_tetrapods/birds/anas_penelope.tif
2016-11-04 19:09:42 [clip_udr_data] [DEBUG]  [107/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anas_penelope.tif
2016-11-04 19:09:48 [clip_udr_data] [DEBUG]  [107/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:48 [clip_udr_data] [DEBUG]  [107/763] Processing input file data/external/udr/european_tetrapods/birds/anas_penelope.tif.
2016-11-04 19:09:48 [clip_udr_data] [DEBUG]  [107/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anas_penelope.tif.
2016-11-04 19:09:48 [clip_udr_data] [DEBUG]  [107/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anas_penelope.tif to destination data/processed/features/udr/european_tetrapods/birds/anas_penelope.tif.
2016-11-04 19:09:48 [clip_udr_data] [DEBUG]  [107/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:48 [clip_udr_data] [INFO ]  [108/763] Clipping dataset data/external/udr/european_tetrapods/birds/anas_platyrhynchos.tif
2016-11-04 19:09:48 [clip_udr_data] [DEBUG]  [108/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anas_platyrhynchos.tif
2016-11-04 19:09:53 [clip_udr_data] [DEBUG]  [108/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:53 [clip_udr_data] [DEBUG]  [108/763] Processing input file data/external/udr/european_tetrapods/birds/anas_platyrhynchos.tif.
2016-11-04 19:09:53 [clip_udr_data] [DEBUG]  [108/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anas_platyrhynchos.tif.
2016-11-04 19:09:53 [clip_udr_data] [DEBUG]  [108/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anas_platyrhynchos.tif to destination data/processed/features/udr/european_tetrapods/birds/anas_platyrhynchos.tif.
2016-11-04 19:09:53 [clip_udr_data] [DEBUG]  [108/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:53 [clip_udr_data] [INFO ]  [109/763] Clipping dataset data/external/udr/european_tetrapods/birds/anas_querquedula.tif
2016-11-04 19:09:53 [clip_udr_data] [DEBUG]  [109/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anas_querquedula.tif
2016-11-04 19:09:59 [clip_udr_data] [DEBUG]  [109/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:09:59 [clip_udr_data] [DEBUG]  [109/763] Processing input file data/external/udr/european_tetrapods/birds/anas_querquedula.tif.
2016-11-04 19:09:59 [clip_udr_data] [DEBUG]  [109/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anas_querquedula.tif.
2016-11-04 19:09:59 [clip_udr_data] [DEBUG]  [109/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anas_querquedula.tif to destination data/processed/features/udr/european_tetrapods/birds/anas_querquedula.tif.
2016-11-04 19:09:59 [clip_udr_data] [DEBUG]  [109/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:09:59 [clip_udr_data] [INFO ]  [110/763] Clipping dataset data/external/udr/european_tetrapods/birds/anas_strepera.tif
2016-11-04 19:09:59 [clip_udr_data] [DEBUG]  [110/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anas_strepera.tif
2016-11-04 19:10:04 [clip_udr_data] [DEBUG]  [110/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:04 [clip_udr_data] [DEBUG]  [110/763] Processing input file data/external/udr/european_tetrapods/birds/anas_strepera.tif.
2016-11-04 19:10:04 [clip_udr_data] [DEBUG]  [110/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anas_strepera.tif.
2016-11-04 19:10:04 [clip_udr_data] [DEBUG]  [110/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anas_strepera.tif to destination data/processed/features/udr/european_tetrapods/birds/anas_strepera.tif.
2016-11-04 19:10:04 [clip_udr_data] [DEBUG]  [110/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:10:04 [clip_udr_data] [INFO ]  [111/763] Clipping dataset data/external/udr/european_tetrapods/birds/anser_anser.tif
2016-11-04 19:10:04 [clip_udr_data] [DEBUG]  [111/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anser_anser.tif
2016-11-04 19:10:09 [clip_udr_data] [DEBUG]  [111/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:09 [clip_udr_data] [DEBUG]  [111/763] Processing input file data/external/udr/european_tetrapods/birds/anser_anser.tif.
2016-11-04 19:10:09 [clip_udr_data] [DEBUG]  [111/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anser_anser.tif.
2016-11-04 19:10:09 [clip_udr_data] [DEBUG]  [111/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anser_anser.tif to destination data/processed/features/udr/european_tetrapods/birds/anser_anser.tif.
2016-11-04 19:10:09 [clip_udr_data] [DEBUG]  [111/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:10:09 [clip_udr_data] [INFO ]  [112/763] Clipping dataset data/external/udr/european_tetrapods/birds/anser_brachyrhynchus.tif
2016-11-04 19:10:09 [clip_udr_data] [DEBUG]  [112/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anser_brachyrhynchus.tif
2016-11-04 19:10:15 [clip_udr_data] [DEBUG]  [112/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:15 [clip_udr_data] [DEBUG]  [112/763] Processing input file data/external/udr/european_tetrapods/birds/anser_brachyrhynchus.tif.
2016-11-04 19:10:15 [clip_udr_data] [DEBUG]  [112/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anser_brachyrhynchus.tif.
2016-11-04 19:10:15 [clip_udr_data] [DEBUG]  [112/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anser_brachyrhynchus.tif to destination data/processed/features/udr/european_tetrapods/birds/anser_brachyrhynchus.tif.
2016-11-04 19:10:15 [clip_udr_data] [DEBUG]  [112/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:10:15 [clip_udr_data] [INFO ]  [113/763] Clipping dataset data/external/udr/european_tetrapods/birds/anser_erythropus.tif
2016-11-04 19:10:15 [clip_udr_data] [DEBUG]  [113/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anser_erythropus.tif
2016-11-04 19:10:20 [clip_udr_data] [DEBUG]  [113/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:20 [clip_udr_data] [DEBUG]  [113/763] Processing input file data/external/udr/european_tetrapods/birds/anser_erythropus.tif.
2016-11-04 19:10:20 [clip_udr_data] [DEBUG]  [113/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anser_erythropus.tif.
2016-11-04 19:10:20 [clip_udr_data] [DEBUG]  [113/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anser_erythropus.tif to destination data/processed/features/udr/european_tetrapods/birds/anser_erythropus.tif.
2016-11-04 19:10:20 [clip_udr_data] [DEBUG]  [113/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:10:20 [clip_udr_data] [INFO ]  [114/763] Clipping dataset data/external/udr/european_tetrapods/birds/anser_fabalis.tif
2016-11-04 19:10:20 [clip_udr_data] [DEBUG]  [114/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anser_fabalis.tif
2016-11-04 19:10:25 [clip_udr_data] [DEBUG]  [114/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:25 [clip_udr_data] [DEBUG]  [114/763] Processing input file data/external/udr/european_tetrapods/birds/anser_fabalis.tif.
2016-11-04 19:10:25 [clip_udr_data] [DEBUG]  [114/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anser_fabalis.tif.
2016-11-04 19:10:25 [clip_udr_data] [DEBUG]  [114/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anser_fabalis.tif to destination data/processed/features/udr/european_tetrapods/birds/anser_fabalis.tif.
2016-11-04 19:10:25 [clip_udr_data] [DEBUG]  [114/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:10:25 [clip_udr_data] [INFO ]  [115/763] Clipping dataset data/external/udr/european_tetrapods/birds/anthus_campestris.tif
2016-11-04 19:10:25 [clip_udr_data] [DEBUG]  [115/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anthus_campestris.tif
2016-11-04 19:10:30 [clip_udr_data] [DEBUG]  [115/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:30 [clip_udr_data] [DEBUG]  [115/763] Processing input file data/external/udr/european_tetrapods/birds/anthus_campestris.tif.
2016-11-04 19:10:30 [clip_udr_data] [DEBUG]  [115/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anthus_campestris.tif.
2016-11-04 19:10:30 [clip_udr_data] [DEBUG]  [115/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anthus_campestris.tif to destination data/processed/features/udr/european_tetrapods/birds/anthus_campestris.tif.
2016-11-04 19:10:30 [clip_udr_data] [DEBUG]  [115/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:10:30 [clip_udr_data] [INFO ]  [116/763] Clipping dataset data/external/udr/european_tetrapods/birds/anthus_cervinus.tif
2016-11-04 19:10:30 [clip_udr_data] [DEBUG]  [116/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anthus_cervinus.tif
2016-11-04 19:10:35 [clip_udr_data] [DEBUG]  [116/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:35 [clip_udr_data] [DEBUG]  [116/763] Processing input file data/external/udr/european_tetrapods/birds/anthus_cervinus.tif.
2016-11-04 19:10:35 [clip_udr_data] [DEBUG]  [116/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anthus_cervinus.tif.
2016-11-04 19:10:35 [clip_udr_data] [DEBUG]  [116/763] Copying nodata values from source data/external/udr/european_tetrapods/birds/anthus_cervinus.tif to destination data/processed/features/udr/european_tetrapods/birds/anthus_cervinus.tif.
2016-11-04 19:10:35 [clip_udr_data] [DEBUG]  [116/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:10:35 [clip_udr_data] [INFO ]  [117/763] Clipping dataset data/external/udr/european_tetrapods/birds/anthus_petrosus.tif
2016-11-04 19:10:35 [clip_udr_data] [DEBUG]  [117/763] Target dataset data/processed/features/udr/european_tetrapods/birds/anthus_petrosus.tif
2016-11-04 19:10:41 [clip_udr_data] [DEBUG]  [117/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:10:41 [clip_udr_data] [DEBUG]  [117/763] Processing input file data/external/udr/european_tetrapods/birds/anthus_petrosus.tif.
2016-11-04 19:10:41 [clip_udr_data] [DEBUG]  [117/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/birds/anthus_petrosus.tif.
